Type,Product,Brand,Name,Price
SkinCare,防曬,M.A.C,防曬潤色隔離霜 SPF35 PA+++ PREP + PRIME FORTIFIED SKIN ENHANCER SPF 35 PA+++,1250
SkinCare,防曬,Cetaphil 舒特膚,極緻全護低敏防曬霜SPF50+UVA28 UVA/UVB Defense,800
SkinCare,防曬,SHISEIDO 資生堂-開架式,防曬露SPF50+.PA+++,240/430
SkinCare,防曬,Kanebo 佳麗寶-專櫃,艾麗嫩白防曬日霜,1190
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌柔光透亮防曬飾底凝露(薄荷綠)SPF50+/PA++++,0
SkinCare,防曬,Kanebo 佳麗寶-專櫃,EX UV 高效防曬亮白水凝乳SPF50+/PA++++ EX UV PROTECTOR HIGHLIGHT GEL,850
SkinCare,防曬,EVITA 艾薇塔,黑植萃水潤防曬精華乳SPF50+/PA+++,390
SkinCare,防曬,Greenvines 綠藤生機,第三選擇防曬(自然潤色)SPF25★★★★,650
SkinCare,防曬,DR.WU 達爾膚醫美保養系列,全日保濕防曬乳(潤色款)SPF50+/PA+++ UV HYDRATING LOTION WITH HYALURONIC ACID (TINTED) SPF50+ 30ML,800
SkinCare,防曬,SUNCUT 曬可皙,高效防曬離凝露SPF50+/PA++++(防水型) PROTECT GEL SPF50+/PA++++,348
SkinCare,防曬,Cellina 雪芙蘭,超水感清爽勁涼防曬噴霧SPF50+,0
SkinCare,防曬,Deary 媞爾妮,高效防曬精華噴霧,0
SkinCare,防曬,BEVY C. 妝前保養,高防護清爽防曬露SPF50+/PA++++ Perfect UV Sunscreen SPF50+/PA++++,780
SkinCare,防曬,ettusais 艾杜紗,全效防曬凝露SPF50+/PA++++,500
SkinCare,防曬,Dior 迪奧,極效賦活全能防禦乳SPF50/PA++++ ONE ESSENTIAL CITY DEFENSE,2300
SkinCare,防曬,Kanebo 佳麗寶-專櫃,EX UV高效防曬飾底乳SPF50+/PA++++,1050
SkinCare,防曬,Fasio 菲希歐,[海外販售] 超護UV舒涼防曬噴霧 FASIO UV PROTECT SPRAY N,260
SkinCare,防曬,LANCOME 蘭蔻,絕對完美極緻再生隔離霜SPF50/PA++++ ABSOLUE UV PRECIOUS CELLS Global Youth Protector,3300
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌瞬間清爽防曬噴霧-無香料SPF50+/PA++++ SARAFIT UV Mist,319/549
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌溫和防曬乳液SPF25 PA++,275
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌美白水感防曬露SPF30/PA++,275
